"posting.title","posting.company_name","posting.skills_desc","posting.description","posting.formatted_experience_level","posting.location"
"Software Engineer - Internal Platform","Baseten","Python, Go, Docker, Helm, Kubernetes, Terraform, Bazel, CI/CD","ABOUT BASETEN

Baseten powers inference for the world's most dynamic AI companies, like OpenEvidence, Clay, Mirage, Gamma, Sourcegraph, Writer, Abridge, Bland, and Zed. By uniting applied AI research, flexible infrastructure, and seamless developer tooling, we enable companies operating at the frontier of AI to bring cutting-edge models into production. With our recent $150M Series D funding, backed by investors including BOND, IVP, Spark Capital, Greylock, and Conviction, we’re scaling our team to meet accelerating customer demand.

THE ROLE

As an early member of Baseten's Platform Team, you will be pivotal in building internal infrastructure to support our engineering organization. While our product provides infrastructure for AI development, your focus will be on creating robust internal systems that amplify the productivity, collaboration, and quality of work across all engineering teams by providing exceptional tooling, efficient workflows, and robust development environments.

If you are passionate about elegant solutions—like streamlined monorepos, lightning-fast CI pipelines, and thoughtfully designed shared libraries—you'll thrive at Baseten.

RESPONSIBILITIES

Create diverse tooling tailored to the needs of different engineering teams.

Enhance monorepo capabilities and develop project templates for consistency and efficiency.

Design and implement shared libraries focused on observability.

Improve the speed, reliability, and comprehensiveness of our CI pipelines.

Assist in designing and maintaining Terraform modules for infrastructure management.

Provide innovative solutions to enhance visibility in continuous delivery (CD) processes.

Actively support engineering teams, ensuring they have the resources and tools necessary to remain productive.

REQUIREMENTS

Strong-level proficiency in Go and/or Python.

Experience with Kubernetes/Docker tooling (e.g., Helm, Docker, Kubernetes).

Experience managing and working with large monorepos. Bonus points for familiarity with tools such as Bazel, Pants, Moon, Turborepo, etc.

Advanced understanding of CI/CD concepts.

Excellent developer tool culture with a focus on best practices. Bonus points if you have personally developed open-source developer tools.

BENEFITS

Competitive compensation, including meaningful equity.

100% coverage of medical, dental, and vision insurance for employee and dependents

Generous PTO policy including company wide Winter Break (our offices are closed from Christmas Eve to New Year's Day!)

Paid parental leave

Company-facilitated 401(k)

Exposure to a variety of ML startups, offering unparalleled learning and networking opportunities.

Apply now to embark on a rewarding journey in shaping the future of AI! If you are a motivated individual with a passion for machine learning and a desire to be part of a collaborative and forward-thinking team, we would love to hear from you.

At Baseten, we are committed to fostering a diverse and inclusive workplace. We provide equal employment opportunities to all employees and applicants without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.","Entry level","San Francisco, New York, Remote"
"Software Engineer, New Grad - Infrastructure","Palantir Technologies","Java, Go, Typescript, Kubernetes, React, Redux, Gradle, Github, Envoy","A World-Changing Company

Palantir builds the world’s leading software for data-driven decisions and operations. By bringing the right data to the people who need it, our platforms empower our partners to develop lifesaving drugs, forecast supply chain disruptions, locate missing children, and more.

The Role

Software Engineers at Palantir drive large-scale transformation through data, AI and world-leading infrastructure that supports mission-critical workloads. In this role, you’ll have an opportunity to grow more quickly than you ever envisioned as you contribute high-quality code directly to:

• Rubix and Apollo, platforms deployed at the most important institutions across the public and private sectors
• Shaping Mission Manager, our new internal-infrastructure business line, used by advanced civil and defense agencies worldwide to power their infrastructure in highly sensitive environments
• Building the core capabilities used by advanced civil and defense agencies worldwide to power their infrastructure
• Providing the substrate on which Palantir deploys its other platforms, Foundry and Gotham, which power workflows for research scientists, aerospace engineers, intelligence analysts and economic forecasters

You’ll join our Production Infrastructure organization, made up of small teams of engineers working on:

• Environment Platform: a Kubernetes-based PaaS spanning hundreds of production clusters
• Apollo: secure, fleet-wide deployment and change-management for complex microservice suites
• Signals: our full suite of observability and alerting tools


Core Responsibilities

As a Software Engineer at Palantir, you’ll own every phase of the product lifecycle—from generating ideas and designing prototypes to executing features and shipping releases—while being paired with a dedicated mentor who champions your growth. You’ll work hand-in-hand with both technical and non-technical colleagues to uncover real customer problems and deliver solutions that address them. To gain firsthand insight, you might sit side-saddle at a military exercise or partner directly with vendors using Palantir’s Apollo & Rubix to put our software into the hands of warfighters and government workers.

SWE principles include:

• Ownership: We see projects through from beginning to end in spite of obstacles we may encounter.
• Collaboration: We work internally with people from a variety of backgrounds — such as other Software Engineers, Product Managers, Designers and Product Reliability Engineers. We also partner with our business development teams (Forward Deployed Engineers, Deployment Strategists) in order to understand and solve our customers' problems.
• Trust: We trust each other to effectively handle time and priorities, and don't micromanage. We want people to have the space to think for themselves, while feeling supported by their team.


Technologies We Use

It doesn’t matter what languages you know when you join us; what matters is that you can write clean, effective code and learn new languages quickly. Our software is constantly evolving, so we need engineers who can do the same. Alongside peers that bring diverse experience - whether you’re a former university Teaching Assistant, switched to computer science recently, or are a hackathon enthusiast — you'll build your skills to apply the best technology to solve a given problem. Right now, we use:

• A variety of languages, including Java and Go for backend and Typescript for frontend
• Open-source technologies like Kubernetes, Cilium, Envoy, Grafana, React, and Redux
• Industry-standard tooling, including Gradle and GitHub, and agentic tools like Windsurf & Cline
What We Value
Ability to communicate and collaborate with a variety of individuals, including engineers, users and non-technical team members.
Willingness to learn and make decisions independently, and the ability to ask questions effectively.
Active US Security clearance, or eligibility and willingness to obtain a US Security clearance.
What We Require
Engineering background in fields such as Computer Science, Mathematics, Software Engineering, and Physics.
Familiarity with data structures, storage systems, cloud infrastructure, front-end frameworks, and other technical tools.
Experience coding in programming languages, such as Java, C++, Python, JavaScript, or similar languages.
To apply, please submit the following:
An updated resume / CV - please do so in PDF format.
Thoughtful responses to our application questions.
Salary

The estimated salary range for this position is estimated to be $145,000 - $155,000/year. Total compensation for this position may also include Restricted Stock units, sign-on bonus and other potential future incentives. Further note that total compensation for this position will be determined by each individual’s relevant qualifications, work experience, skills, and other factors. This estimate excludes the value of any potential sign-on bonus; the value of any benefits offered; and the potential future value of any long-term incentives.

Our benefits aim to promote health and wellbeing across all areas of Palantirians’ lives. We work to continuously improve our offerings and listen to our community as we design and update them. The list below details our available benefits and some of the perks that can be enjoyed as an employee of Palantir Technologies.

Benefits

•  Employees (and their eligible dependents) can enroll in medical, dental, and vision insurance as well as voluntary life insurance
•  Employees are automatically covered by Palantir’s basic life, AD&D and disability insurance
•  Commuter benefits
•  Take what you need paid time off, not accrual based
•  2 weeks paid time off built into the end of each year (subject to team and business needs)
•  10 paid holidays throughout the calendar year
•  Supportive leave of absence program including time off for military service and medical events
•  Paid leave for new parents and subsidized back-up care for all parents
•  Fertility and family building benefits including but not limited to adoption, surrogacy, and preservation
•  Stipend to help with expenses that come with a new child
•  Employees can enroll in Palantir’s 401k plan

Life at Palantir

We want every Palantirian to achieve their best outcomes, that’s why we celebrate individuals’ strengths, skills, and interests, from your first interview to your longterm growth, rather than rely on traditional career ladders. Paying attention to the needs of our community enables us to optimize our opportunities to grow and helps ensure many pathways to success at Palantir. Promoting health and well-being across all areas of Palantirians’ lives is just one of the ways we’re investing in our community. Learn more at Life at Palantir and note that our offerings may vary by region.

In keeping consistent with Palantir’s values and culture, we believe employees are “better together” and in-person work affords the opportunity for more creative outcomes. Therefore, we encourage employees to work from our offices to foster connectivity and innovation. Many teams do offer hybrid options (WFH a day or two a week), allowing our employees to strike the right trade-off for their personal productivity. Based on business need, there are a few roles that allow for “Remote” work on an exceptional basis. If you are applying for one of these roles, you must work from the state in which you are employed. If the posting is specified as Onsite, you are required to work from an office.

If you want to empower the world's most important institutions, you belong here. Palantir values excellence regardless of background. We are proud to be an Equal Opportunity Employer for all, including but not limited to Veterans and those with disabilities. Palantir is committed to making the application and hiring process accessible to everyone and will provide a reasonable accommodation for those living with a disability. If you need an accommodation for the application or hiring process, please reach out and let us know how we can help.","Entry Level","Washington, D.C."
"Software Engineer – University Graduate (US)","Citadel","Python, Java, C++, Github","Job Description
At Citadel Securities, our engineers work in small teams to turn the best ideas into high-performing and resilient technology. With short development cycles, work rapidly goes into production. As an engineer, you can create systems architectures, develop platforms and build web frameworks. You’ll have access to state-of-the-art tools and apply innovative techniques including distributed computing, natural language processing, machine learning and more.
Your Objectives:
Create technological tools that bring trading strategies to life
Develop high-performance, large data research platforms
Work in small teams to build the future of finance
Your Skills & Talents:
Bachelor's, master's or PhD in Computer Science, Computer Engineering or related fields
Exceptional programming and design skills
Strong analytical skills and familiarity with probability and statistics
Ability to communicate effectively in a collaborative, complex and highly technical team environment
Intellectual curiosity and passion for solving challenging problems using technology
Opportunities available in Miami, New York.

In accordance with applicable law, the base salary range for this role is $200,000 to $250,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program, as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans, and access to other healthcare programs.

About Citadel Securities
Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market’s most critical challenges, turning big ideas into real-world outcomes.

","Entry Level","Miami, New York"
"Graduate Software Engineer","Optiver","Java, Networking, Low-latency, Python, C++, Operating Systems, Computer Architecture","As a Graduate Software Engineer, your work is mission-critical at our firm. You will work on solutions that enable us to react to markets at lightning-fast speeds. Your work will be the magic behind the scenes, enabling our teams to make split-second decisions with precision and confidence. By working in an interdisciplinary manner and innovating and optimising code, you will keep our firm competitive in the ever-evolving capital markets.

What you’ll do

Your onboarding

You will participate in Optiver’s comprehensive Global Academy and be equipped with the knowledge needed to make an impact the moment you join your team. The comprehensive training covers trading theory and Optiver’s tech stack to hone your skills for your role. In addition, you will be paired with a dedicated mentor who will empower you to take ownership of your work and make a difference.

Your responsibilities

As a Graduate Software Engineer, you will work closely with best-in-class traders, researchers, risk analysts and other engineers to develop simple, well-architected solutions that meet the needs of our business. No one day is ever the same. You will gain and develop in-depth knowledge of engineering for the capital markets. Our collective passion to solve problems makes a direct impact on our business.

What you’ll get

You’ll join a culture of collaboration and excellence, where you’ll be surrounded by curious thinkers and creative problem solvers. Motivated by a passion for continuous improvement, you’ll thrive in a supportive, high-performing environment alongside talented colleagues, working collectively to tackle the toughest problems in the financial markets.

In addition, you’ll receive:

A performance-based bonus structure unmatched anywhere in the industry. We combine our profits across desks, teams and offices into a global profit pool
The opportunity to work alongside best-in-class professionals from over 40 different countries
25 paid vacation days and fully paid first-class commuting expenses
Training opportunities and discounts on health insurance
Extensive office perks, including breakfast and lunch, world-class barista coffee, sport and leisure activities, Friday afternoon drinks, and weekly in-house chair massages
Competitive relocation packages and visa sponsorship where necessary for expats
Who you are

Bachelor’s, Master’s or PhD degree in Computer Science, Computer Engineering or equivalent, with outstanding academic achievements
Graduating by 2026, or a maximum of 3 years work experience
Passionate about clean code, simple, well-architected systems, and continuous improvement
Proficient in industry-standard coding languages such as C++, Python, or Java, with a strong understanding of underlying computer architecture and system operations
A solid grasp of algorithms, memory and concurrency models, CPU-architecture, operating systems and relational databases
Have an entrepreneurial attitude and an interest in the financial industry
An analytical mindset and strong problem-solving skills
Able to work closely with other engineers, traders, and business operations","Entry Level","Chicago"
"Software Engineer (University Grad)","Meta","Java, Python, C++, JavaScript","100%
Resume Match
4 of 4 keywords
Want to build new features and improve existing products that more than a billion people around the world use? Are you interested in working on highly impactful technical challenges to help the world be more open and connected? Want to solve unique, large-scale, highly complex technical problems? Our development cycle is extremely fast, and we've built tools to keep it that way. It's common to write code and have it running live on the site just hours later. We push code to the site continuously and have small teams that build products that are touched by millions of people around the world. If you work for us, you will be able to make an impact immediately.
 
Meta is seeking Software Engineers to join our engineering team. You can help build the next-generation of systems behind Meta's products, create web applications that reach millions of people, build high volume servers and be a part of a team that’s working to help people connect with each other around the globe.
Software Engineer (University Grad) Responsibilities
Develop a strong understanding of relevant product area, codebase, and/or systems
Demonstrate proficiency in data analysis, programming and software engineering
Produce high quality code with good test coverage, using modern abstractions and frameworks
Work independently, use available resources to get unblocked, and complete tasks on-schedule by exercising strong judgement and problem solving skills
Master Meta’s development standards from developing to releasing code in order to take on tasks and projects with increasing levels of complexity
Actively seek and give feedback in alignment with Meta’s Performance Philosophy Preferred qualifications
Minimum Qualifications
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta
Experience coding in an industry-standard language (e.g. Java, Python, C++, JavaScript)
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
Preferred Qualifications
Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications
Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science or a related field
About Meta
Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Entry Level","Menlo Park, CA"
"Software Engineer, University Graduate","Google","C, C++, Java, Python, Unix, Linux","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.

Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.

Responsibilities
Research, conceive, and develop software applications to extend and improve on Google's product offering.
Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning, and search technologies.
Collaborate on scalability issues involving access to data and information.
Solve challenges/problems that you are presented with.","Entry Level","Mountain View, CA"
"Graduate Software Engineer","IMC","Java, C++","Having the best technology drives our business. As a Software Engineer at IMC, you will drive the development of our cutting-edge trading algorithms. You will be responsible for spotting new opportunities, solving problems and developing innovative technologies. Software development here is innovative, pragmatic and fun, even as complexity grows.

YOUR CORE RESPONSIBILITIES:

Build and maintain our trading platform and software stack
Bring our trading strategies and technology platform to the next level
Collaborate with Traders, Quant Researchers and other Engineers both locally and globally
Develop expertise within the entire software development lifecycle
Learn new technologies and programming languages in a dynamic environment
YOUR SKILLS AND EXPERIENCE:

Current university student graduating between September 2025 – July 2026 that is pursuing a degree in Computer Science, Engineering, or a related technology field
Must have strong knowledge of algorithms and data structures
Proficiency in a programming language is required (Java or C++ preferred)
Strong analytical skills and interest in solving complex problems programmatically
Desire to interact and work closely with non-engineers in a dynamic environment
Interest in the Financial Markets; previous knowledge is NOT required
Must be available for full-time employment starting in February or August 2026
You may submit one application per role each year.  We strongly encourage you to focus on applying to a single role that best matches your skills and interests.  Though you may apply to multiple roles, please note that each application will be evaluated based on the specific criteria established for that particular role. If you have already applied for this position during the current recruitment season and were not selected, you may reapply when the next recruitment season begins in 2026.

The Base Salary range for the role is included below. Base salary is only one component of total compensation; all full-time, permanent positions are eligible for a discretionary bonus and benefits, including paid leave and insurance. Please visit Benefits - US | IMC Trading for more comprehensive information.","Entry Level","Chicago"
"Software Engineer - Recent College Graduate","Kikoff","Ruby, Rails, AWS, ReactJS, Vercel, Flutter","Software Engineer - Recent College Graduate job at Kikoff. San Francisco, CA.

Calling all new grad and junior software engineers who are looking for fast personal and career growth in consumer fintech. Skip the bureaucracy of a big company and work with a seasoned startup product and engineering team. We balance best practices from our experience in post-IPO companies with the familiar intuition that comes from pre-IPO zero-to-one work. Our mission is to create fair, effective, and simple financial pathways to help 100M Americans reach their financial goals. Investors include Lightspeed, Coatue and GGV. Founders are serial entrepreneurs who co-founded and served as C-suite executives at 3 FinTech unicorns.

Our backend is written in Ruby on Rails on AWS, using lots of vanilla infrastructure. Our frontend and mobile apps are written in ReactJS on Vercel and Flutter. Strong internships and general open-source experience are necessary, but familiarity with our particular stack is preferred.

About Kikoff:

Kikoff is a personal finance platform designed to help millions of underserved Americans achieve financial wellness. Our mission is to provide refreshingly fair, effective, and simple pathways for everyday people to meet their financial goals. We design financial products that simplify credit building so our users can reach their financial goals. Kikoff is a Series B company and has raised over $42 million in total funding. Investors include Portage Ventures, Lightspeed Venture Partners, GGV, Coatue, Core Innovation Capital, and basketball star Stephen Curry. Kikoff was founded in 2019 and is headquartered in San Francisco with an office in Reno.

Why Kikoff:

This is a consumer fintech startup, and you will be working with serial entrepreneurs who have built strong consumer brands and innovative products. We are backed by some of Silicon Valleys top VCs. We value extreme ownership, clear communication, a strong sense of craftsmanship, and the desire to create lasting work and work relationships. Yes, you can build an exciting business AND have real-life real-customer impact.

Medical, dental, and vision coverage - Kikoff covers the full cost of health insurance for the employee!

Stock Options

Flexible vacation policy to help you recharge

US salary range for this full-time position consists of base + equity + benefits

Visa sponsorship available: Kikoff is willing to provide sponsorship for H1-B visas and U.S. green cards for exceptional talent.

Compensation
$150K Offers Equity","Entry Level","San Francisco"
"Software Engineering","Blackrock","N/A","We build products and services to meet the needs of BlackRock and our clients. Our fintech culture and solutions help distinguish BlackRock as an industry leader in both asset management and innovative technologies. The team comprises software engineers, data scientists, data engineers, quant developers, DevOps engineers, product managers, business analysts, UX engineers, UX designers and more, all working to drive innovation in the financial services industry.

Teams you may be considered for:
It is possible that you may be evaluated for opportunities with teams other than those listed below.

Aladdin Engineering
Aladdin Engineering builds and runs the Aladdin product and platform for BlackRock and its external clients. The platform unifies the investment management process to enable scale, provide insights and support true business transformation. Aladdin Engineering is made up of product engineering, design and Aladdin platform engineering teams that are responsible for building and running Aladdin. Analysts who join select teams will participate in four 6-month assignments across various technology streams during a two-year rotational program. This will provide a breadth of experiences across teams, technologies and businesses.

Data Operations Engineering (DOE)
Data is at the heart of Aladdin, and increasingly, the ability to consume, store, analyze and gain insight from data has become a key component of our competitive advantage. DOE is responsible for the data ecosystem within BlackRock. Our goal is to build and maintain a leading-edge data platform that provides highly available, consistent data of the highest quality for all platform users, notably investors, operations teams and data scientists. We focus on evolving our platform to deliver exponential scale to the firm, powering the future growth of Aladdin.

Global Investment Operations (GIO) Engineering
GIO Engineering develops exception-based, business- and process-centric technology solutions that provide scale to operations teams globally. We work closely with business users in Wilmington to develop service-orientated workflows across GIO’s functional areas: Trading & Market Documentation, Transaction Management, Collateral Management, Payments, Corporate Actions, Cash & Asset Operations and Securities Lending Operations.

Separately Managed Accounts (SMA) Solutions Engineering
The SMA Solutions Engineering team is multi-disciplined and includes software engineers, data experts, quality assurance professionals and an in-house Salesforce team. Automation across the ecosystem allows our client-facing teams and portfolio managers to handle a large number of accounts with a high degree of personalization.

This function is known for:
Being passionate about technology and solving sophisticated problems
Coming from diverse industries and academic backgrounds
Using Gen AI at the core of all products to provide the best client experience
Developing in Java, Python, No-Sql/SQL databases, Kubernetes, Kafka, Docker, Angular, React, a host of languages and open-source technologies
Being comprised of technology leaders that unlock incremental innovation and drive fintech culture at BlackRock
Constantly learning more about the firm’s business, financial markets and products
What will you do as an Analyst?
Take emotional ownership of projects and develop at scale in the enterprise environment used by thousands of users
Work with senior engineers and have an immediate impact on the development of the Aladdin platform
Collaborate with users and the product team to design and implement new features
Use all that cool tech that you have heard about, like AzureML, Snowflake, Spark, Storm, Solr and more
Gain a broad understanding of the investment process and the capabilities of Aladdin
Express your resourcefulness by teaming up and joining firm-wide hackathons
Bring your authentic self to work and find your community through volunteering, employee and professional networks as well as everyday interactions
What capabilities are we looking for?
Intermediate programming skills in an OO language, e.g., Java, Python or JavaScript
Problem-solving skills
Technical curiosity
Interpersonal skills
Critical thinking
Adaptability
Tenacity
Teamwork
Interest in finance
Your learning and development will include:
During the Summer Internship Program, you will work within one technology stream while gaining wider exposure through networking, social events and project work.
Learning and development for an Analyst can vary depending on the specific team. However, you can take advantage of a range of opportunities for Analysts to learn and grow, such as training programs, mentorship and on-the-job learning","Entry Level","Atlanta, GA"
"Quantitative Technologist (Full-Time - C++ Developer)","Radix","C++","Please only apply to one of our Job Postings. At the bottom of the application questions below you'll have the option to indicate if there are any other roles here at Radix that you might be interested in. Please do not submit multiple applications for different positions.  

As a Quantitative Technologist, your goal is to enhance live trading systems, research infrastructure, and alpha generation through technology innovation. 
 
We leverage cutting-edge software and hardware (mostly with modern C++) to push production level code daily and evolve fully-automated strategies, alpha generation processes, live trading systems, and machine learning research and simulation infrastructure used to analyze petabytes of data. 
 
We provide starter projects that we know will add value to the firm, while encouraging exploration and independent projects to improve inefficiencies, propose iterations, and own significant processes and tools within your first few months. 
 
COMPENSATION – Competitive salary, plus quarterly bonus based on individual performance and contribution towards success of others and the firm.
 
Qualifications
 
We’re looking for highly analytical people who want to help build the research-driven trading firm of the future. And to do that, you’ll need the following qualities:

Persistent Drive to Improve - Do you have an innate desire to rise to the next level, even after great accomplishments?
Creative Problem Solving and Probabilistic Thinking - You must enjoy learning and implementing new concepts quickly, combining knowledge from different domains to create new ideas, and take a data-driven and probabilistic approach to testing and implementing new ideas.
Team Mindset - We want people who understand 1+1 > 2 and are as committed to making the team better through sharing ideas as they are driven to improve their individual performance.
Mental Flexibility & Self Awareness - You’ll have to frequently adapt based on new data, results, and feedback on your ideas and performance.
Orientation for Making Money - Although we value academic training, our work is not an academic exercise. We take a hacker’s approach to testing ideas, dropping projects that consume time without high upside, and focusing our next efforts on what will create the most value for the firm.
Software development skills to have or develop

Low-level computer languages like C or C++; awareness of strength in particular language and ability to solve more complex problems due to understanding nuances of the language
Understanding of data structures, algorithmic complexities, and numerical algorithms
Systems Architecture - knowledge and experience with distributed systems and communication
Software Architecture - knowledge and experience working with a large code base
Development Processes - experience delivering and deploying software in production environments","Entry Level","New York"
